,r,p
node1763,0.41818181818181827,0.03003003003003003
node1804,-0.14285714285714288,1.0
node1862,0.1484126984126984,0.3213213213213213
node1903,0.28896420035660536,0.055055055055055056
node2277,0.3053207574339406,0.06906906906906907
node2542,0.02596517739085991,0.8468468468468469
node2680,0.030988413449373902,0.8038038038038038
node1583,0.12998712998713002,0.5515515515515516
node1609,0.36558441558441546,0.2972972972972973
node1656,0.22575250836120403,0.3933933933933934
node1659,0.3444260445916434,0.06006006006006006
node2678,0.14128777775384216,0.07107107107107107
